corp_id,corp_name,schl_id,schl_name,iread_pct,math_prof_pct,ela_prof_pct,sc_prof_pct,ss_prof_pct,bio_prof_pct,sat_bmk_pct
0665,Lebanon Community School Corp,0569,Hattie B Stokes Elementary School,0.699,0.306,0.279,0.24,0.268,NA,NA
0670,Brown County School Corporation,0577,Van Buren Elementary School,0.839,0.512,0.461,0.425,0.543,NA,NA
0670,Brown County School Corporation,0581,Helmsburg Elementary School,0.855,0.439,0.377,0.465,0.568,NA,NA
0670,Brown County School Corporation,0585,Sprunica Elementary School,0.838,0.5,0.439,0.297,0.375,NA,NA
0670,Brown County School Corporation,0587,Brown County Middle School,NA,0.286,0.405,0.5,NA,0.5,NA
0750,Carroll Consolidated School Corp,0623,Carroll Junior High School,NA,0.238,0.404,NA,NA,NA,NA
0750,Carroll Consolidated School Corp,0629,Carroll Elementary School,0.911,0.525,0.41,0.462,0.377,NA,NA
0755,Delphi Community School Corp,0609,Delphi Community Middle School,NA,0.273,0.399,0.442,NA,NA,NA
0755,Delphi Community School Corp,0641,Delphi Community Elementary School,0.869,0.415,0.347,0.349,0.45,NA,NA
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,NA,0.416,0.376,NA,NA,0.376,0.246
0775,Pioneer Regional School Corp,0649,Pioneer Elementary School,0.719,0.253,0.3,0.326,0.462,NA,NA
0815,Lewis Cass Schools,0691,Lewis Cass Junior High School,NA,0.31,0.367,0.337,NA,NA,NA
0815,Lewis Cass Schools,0695,Lewis Cass Elementary School,0.84,0.402,0.312,0.274,0.352,NA,NA
0875,Logansport Community Sch Corp,0701,Logansport Community High School,NA,NA,NA,NA,NA,0.22,0.161
0875,Logansport Community Sch Corp,0702,Logansport Junior High School,NA,0.115,0.261,NA,NA,NA,NA
0875,Logansport Community Sch Corp,0705,Franklin Elementary School,0.724,0.205,0.176,0.328,0.164,NA,NA
0875,Logansport Community Sch Corp,0709,Fairview Elementary School,NA,0.309,0.23,0.226,0.094,NA,NA
0875,Logansport Community Sch Corp,0711,Landis Elementary School,0.761,0.368,0.328,0.323,0.215,NA,NA
0875,Logansport Community Sch Corp,0713,Columbia Elementary School,0.588,0.259,0.192,0.25,0.25,NA,NA
0875,Logansport Community Sch Corp,0715,Logansport Intermediate School,NA,0.156,0.194,0.234,NA,NA,NA
0875,Logansport Community Sch Corp,0719,The Academy at Logansport Community School,NA,0,0.097,NA,NA,0,0.1
0935,Borden-Henryville School Corporation,0765,Henryville Jr & Sr High School,NA,0.133,0.4,NA,NA,0.207,0.154
0935,Borden-Henryville School Corporation,0767,Henryville Elementary School,0.855,0.458,0.337,0.306,0.34,NA,NA
