corp_id,corp_name,typ,address,county,NAME,geometry
3945,Jay School Corporation,School Corporation,"1976 W Tyson Rd, Portland, IN, 47371",Jay,Jay School Corporation,"c(-85.0056064, 40.4323188)"
3995,Madison Consolidated Schools,School Corporation,"2421 Wilson Ave, Madison, IN, 47250",Jefferson,Madison Consolidated Schools,"c(-85.4069225, 38.7726834)"
4000,Southwestern-Jefferson County Consolidated,School Corporation,"239 S Main Cross St, Hanover, IN, 47243",Jefferson,Southwestern Jefferson County Consolidated Schools,"c(-85.4735702, 38.7078324)"
4015,Jennings County School Corporation,School Corporation,"34 Main St, North Vernon, IN, 47265",Jennings,Jennings County Schools,"c(-85.684578, 38.9914998)"
4145,Clark-Pleasant Community School Corporation,School Corporation,"50 Center St, Whiteland, IN, 46184",Johnson,Clark-Pleasant Community School Corporation,"c(-86.0805654, 39.5507448)"
4205,Center Grove Community School Corporation,School Corporation,"4800 W Stones Crossing Rd, Greenwood, IN, 46143",Johnson,Center Grove Community School Corporation,"c(-86.1905516, 39.5779146)"
4215,Edinburgh Community School Corporation,School Corporation,"202 S Keeley St, Edinburgh, IN, 46124",Johnson,Edinburgh Community School Corporation,"c(-85.9699743, 39.3529052)"
4225,Franklin Community School Corporation,School Corporation,"998 Grizzly Cub Dr, Franklin, IN, 46131",Johnson,Franklin Community School Corporation,"c(-86.063427, 39.4903895)"
4245,Greenwood Community School Corporation,School Corporation,"605 W Smith Valley Rd, Greenwood, IN, 46142",Johnson,Greenwood Community School Corporation,"c(-86.1164736, 39.6056678)"
4255,Nineveh-Hensley-Jackson United,School Corporation,"802 S Indian Creek Dr, Trafalgar, IN, 46181",Johnson,Nineveh-Hensley-Jackson United School Corporation,"c(-86.1586123, 39.4097109)"
4315,North Knox School Corporation,School Corporation,"11110 N SR 159, Bicknell, IN, 47512",Knox,North Knox School Corporation,"c(-87.30964, 38.7910527)"
4325,South Knox School Corporation,School Corporation,"6116 E SR 61, Vincennes, IN, 47591",Knox,South Knox School Corporation,"c(-87.4236546, 38.6364312)"
4335,Vincennes Community School Corporation,School Corporation,"1712 S Quail Run Road, Vincennes, IN, 47591",Knox,Vincennes Community School Corporation,"c(-87.4957085, 38.6507891)"
4345,Wawasee Community School Corporation,School Corporation,"801 S Sycamore St, Syracuse, IN, 46567",Kosciusko,Wawasee Community School Corporation,"c(-85.7494001, 41.4139526)"
4415,Warsaw Community Schools,School Corporation,"PO Box 288, Warsaw, IN, 46581",Kosciusko,Warsaw Community Schools,"c(-85.80766, 41.2448875)"
4445,Tippecanoe Valley School Corporation,School Corporation,"8343 S SR 19, Akron, IN, 46910",Kosciusko,Tippecanoe Valley School Corporation,"c(-86.0387963, 41.1111561)"
4455,Whitko Community School Corporation,School Corporation,"710 N SR 5, Suite B, Larwill, IN, 46764",Whitley,Whitko Community School Corporation,"c(-85.643487, 41.1585232)"
4515,Prairie Heights Community School Corporation,School Corporation,"0305 S 1150 E, LaGrange, IN, 46761",Lagrange,Prairie Heights Community School Corporation,"c(-85.2008972, 41.6388854)"
4525,Westview School Corporation,School Corporation,"1545 S 600 W, Topeka, IN, 46571",Lagrange,Westview School Corporation,"c(-85.5397301, 41.6173213)"
4535,Lakeland School Corporation,School Corporation,"0825 E 075 N, LaGrange, IN, 46761",Lagrange,Lakeland School Corporation,"c(-85.4089215, 41.6542855)"
4580,Hanover Community School Corporation,School Corporation,"PO Box 645, Cedar Lake, IN, 46303",Lake,Hanover Community School Corporation,"c(-87.4802068, 41.3937315)"
4590,River Forest Community School Corporation,School Corporation,"3250 Michigan St, Hobart, IN, 46342",Lake,River Forest Community School Corporation,"c(-87.2750062, 41.5585442)"
4600,Merrillville Community School Corporation,School Corporation,"6701 Delaware St, Merrillville, IN, 46410",Lake,Merrillville Community School,"c(-87.330302, 41.4966412)"
4615,Lake Central School Corporation,School Corporation,"8260 Wicker Ave, Saint John, IN, 46373",Lake,Lake Central School Corporation,"c(-87.4726808, 41.4669846)"
4645,Tri-Creek School Corporation,School Corporation,"19290 Cline Avenue, Lowell, IN, 46356",Lake,Tri-Creek School Corporation,"c(-87.4294058, 41.2170965)"
4650,Lake Ridge New Technology Schools,School Corporation,"6111 W Ridge Rd, Gary, IN, 46408",Lake,Lake Ridge Schools,"c(-87.411893, 41.5487228)"
4660,Crown Point Community School Corporation,School Corporation,"200 E North St, Crown Point, IN, 46307",Lake,Crown Point Community School Corporation,"c(-87.3626769, 41.4206147)"
4670,School City of East Chicago,School Corporation,"1401 E 144th Street, East Chicago, IN, 46312",Lake,City of East Chicago School District,"c(-87.4532462, 41.6330037)"
4680,Lake Station Community Schools,School Corporation,"2500 Pike St, Lake Station, IN, 46405",Lake,Lake Station Community Schools,"c(-87.2447721, 41.5726247)"
4690,Gary Community School Corporation,School Corporation,"PO Box 4608, Gary, IN, 46404",Lake,Gary Community School Corporation,"c(-87.3512913, 41.6007075)"
4700,Griffith Public Schools,School Corporation,"601 N Raymond, Griffith, IN, 46319",Lake,Griffith Public Schools,"c(-87.4345849, 41.5320369)"
4710,School City of Hammond,School Corporation,"41 Williams Street, Hammond, IN, 46320",Lake,Hammond School City,"c(-87.5242432, 41.6113681)"
4720,School Town of Highland,School Corporation,"9145 Kennedy Ave, Highland, IN, 46322",Lake,Highland School Town,"c(-87.4608613, 41.5468806)"
4730,School City of Hobart,School Corporation,"32 E 7th St, Hobart, IN, 46342",Lake,Hobart School City,"c(-87.2583105, 41.5275117)"
4740,School Town of Munster,School Corporation,"8616 Columbia Ave, Munster, IN, 46321",Lake,Munster School Town,"c(-87.5016443, 41.5582966)"
4760,School City of Whiting,School Corporation,"1500 Center St, Whiting, IN, 46394",Lake,Whiting School City,"c(-87.4904953, 41.6814583)"
4805,New Prairie United School Corporation,School Corporation,"5327 N Cougar Rd, New Carlisle, IN, 46552",LaPorte,New Prairie United School Corporation,"c(-86.5639615, 41.6830983)"
4860,Metropolitan School District of New Durham Township,School Corporation,"207 E Valparaiso St, Westville, IN, 46391",LaPorte,New Durham Township Metropolitan School District,"c(-86.8938787, 41.5420097)"
4915,Tri-Township Consolidated School Corporation,School Corporation,"PO Box 249, Wanatah, IN, 46390",LaPorte,Tri-Township Consolidated School Corporation,"c(-86.8621827, 41.3585564)"
4925,Michigan City Area Schools,School Corporation,"408 S Carroll Ave, Michigan City, IN, 46360",LaPorte,Michigan City Area Schools,"c(-86.8684232, 41.7059889)"
4940,South Central Community School Corporation,School Corporation,"9808 S 600 W, Union Mills, IN, 46382",LaPorte,South Central Community School Corporation,"c(-86.816215, 41.464207)"
4945,LaPorte Community School Corporation,School Corporation,"1921 'A' St, LaPorte, IN, 46350",LaPorte,La Porte Community School Corporation,"c(-86.7186185, 41.5889814)"
5075,North Lawrence Community Schools,School Corporation,"PO Box 729, Bedford, IN, 47421",Lawrence,North Lawrence Community Schools,"c(-86.4592091, 38.8924224)"
5085,Mitchell Community Schools,School Corporation,"441 N 8th St, Mitchell, IN, 47446",Lawrence,Mitchell Community Schools,"c(-86.4767183, 38.7360176)"
5245,Frankton-Lapel Community Schools,School Corporation,"7916 W 300 N, Anderson, IN, 46011",Madison,Frankton-Lapel Community Schools,"c(-85.8231239, 40.1497456)"
5255,South Madison Community School Corporation,School Corporation,"203 S Heritage Way, Pendleton, IN, 46064",Madison,South Madison Community School Corporation,"c(-85.7638416, 40.0007336)"
5265,Alexandria Community School Corporation,School Corporation,"800 N. Central, Alexandria, IN, 46001",Madison,Alexandria Community School Corporation,"c(-85.6815225, 40.2696425)"
5275,Anderson Community School Corporation,School Corporation,"1600 Hillcrest Ave, Anderson, IN, 46011",Madison,Anderson Community School Corporation,"c(-85.6984491, 40.1264238)"
5280,Elwood Community School Corporation,School Corporation,"1306 N Anderson St, Elwood, IN, 46036",Madison,Elwood Community School Corporation,"c(-85.8427141, 40.2918686)"
5300,Metropolitan School District Decatur Township,School Corporation,"5275 Kentucky Ave, Indianapolis, IN, 46221",Marion,Decatur Township Metropolitan School District,"c(-86.2770749, 39.686445)"
5310,Franklin Township Community School Corporation,School Corporation,"6141 S Franklin Rd, Indianapolis, IN, 46259",Marion,Franklin Township Community School Corporation,"c(-86.0181253, 39.6782549)"
5330,Metropolitan School District Lawrence Township,School Corporation,"6501 Sunnyside Rd, Indianapolis, IN, 46236",Marion,Lawrence Township Metropolitan School District,"c(-85.971256, 39.8775748)"
5340,Perry Township Schools,School Corporation,"6548 Orinoco Ave, Indianapolis, IN, 46227",Marion,Perry Township Metropolitan School District,"c(-86.136058, 39.6710606)"
5350,Metropolitan School District Pike Township,School Corporation,"6901 Zionsville Rd, Indianapolis, IN, 46268",Marion,Pike Township Metropolitan School District,"c(-86.2591214, 39.878646)"
5360,Metropolitan School District Warren Township,School Corporation,"975 N Post Rd, Indianapolis, IN, 46219",Marion,Warren Township Metropolitan School District,"c(-86.0086465, 39.7815456)"
5370,Metropolitan School District Washington Township,School Corporation,"8550 Woodfield Crossing Blvd, Indianapolis, IN, 46240",Marion,Washington Township Metropolitan School District,"c(-86.1244808, 39.9119226)"
5375,Metropolitan School District Wayne Township,School Corporation,"1220 S High Sch Rd, Indianapolis, IN, 46241",Marion,Wayne Township Metropolitan School District,"c(-86.2666463, 39.767184)"
5380,Beech Grove City Schools,School Corporation,"5334 Hornet Ave, Beech Grove, IN, 46107",Marion,Beech Grove City Schools,"c(-86.0766849, 39.7127396)"
5385,Indianapolis Public Schools,School Corporation,"120 E Walnut St, Indianapolis, IN, 46204",Marion,Indianapolis Public Schools,"c(-86.1545603, 39.7769924)"
5400,School Town of Speedway,School Corporation,"5300 Crawfordsville Rd, Speedway, IN, 46224",Marion,Speedway School Town,"c(-86.2515138, 39.7926132)"
5455,Culver Community Schools Corporation,School Corporation,"700 School Street, Culver, IN, 46511",Marshall,Culver Community Schools Corporation,"c(-86.4238357, 41.2228909)"
5470,Argos Community Schools,School Corporation,"500 Yearick Ave, Argos, IN, 46501",Marshall,Argos Community Schools,"c(-86.2485037, 41.2376393)"
5480,Bremen Public Schools,School Corporation,"512 W Grant St, Bremen, IN, 46506",Marshall,Bremen Public Schools,"c(-86.1519845, 41.4429108)"
5485,Plymouth Community School Corporation,School Corporation,"611 Berkley St, Plymouth, IN, 46563",Marshall,Plymouth Community School Corporation,"c(-86.3020376, 41.3461273)"
5495,Triton School Corporation,School Corporation,"100 Triton Dr, Bourbon, IN, 46504",Marshall,Triton School Corporation,"c(-86.1112827, 41.3010524)"
5520,Shoals Community School Corporation,School Corporation,"11741 Ironton Rd, Shoals, IN, 47581",Martin,Shoals Community School Corporation,"c(-86.7768572, 38.6681)"
5525,Loogootee Community School Corporation,School Corporation,"P O Box 282, Loogootee, IN, 47553",Martin,Loogootee Community School Corporation,"c(-86.8621827, 38.8203753)"
5615,Maconaquah School Corporation,School Corporation,"7932 S Strawtown Pike, Bunker Hill, IN, 46914",Miami,Maconaquah School Corporation,"c(-86.059771, 40.6511411)"
5620,North Miami Community Schools,School Corporation,"394 E 900 N, Denver, IN, 46926",Miami,North Miami Community Schools,"c(-86.0682605, 40.8958123)"
5625,Oak Hill United School Corporation,School Corporation,"1474 N 800 W, PO Box 550, Converse, IN, 46919",Grant,Oak Hill United School Corporation,"c(-85.825373, 40.5732061)"
5635,Peru Community Schools,School Corporation,"35 W 3rd St, Peru, IN, 46970",Miami,Peru Community Schools,"c(-86.0693488, 40.7522667)"
5705,Richland-Bean Blossom Community School Corporation,School Corporation,"600 S Edgewood Dr, Ellettsville, IN, 47429",Monroe,Richland-Bean Blossom Community School Corporation,"c(-86.633711, 39.2361338)"
5740,Monroe County Community School Corporation,School Corporation,"315 E North Dr, Bloomington, IN, 47401",Monroe,Monroe County Community School Corporation,"c(-86.5305985, 39.1449503)"
5835,North Montgomery Community School Corporation,School Corporation,"480 W 580 N, Crawfordsville, IN, 47933",Montgomery,North Montgomery Community School Corporation,"c(-86.9131124, 40.1236215)"
