corp_id,corp_name,schl_id,schl_name,pct_bmk
9460,Thea Bowman Leadership Academy,4022,Thea Bowman Leadership Academy,0.017
9505,Indiana Agriculture and Technology,5472,Indiana Agriculture and Technology,0.067
9535,Gary Lighthouse Charter School,4130,Gary Lighthouse Charter School,0.024
9545,21st Century Charter Sch of Gary,4164,21st Century Charter Sch of Gary,0.011
9575,Victory College Prep,5523,Victory College Prep,0.077
9605,IN Sch for the Blind & Vis Imprd,C460,IN Sch for the Blind & Vis Imprd,NA
9610,Indiana School For The Deaf,C695,Indiana School For The Deaf,0.05
9620,Burris Laboratory School,1441,Burris Laboratory School,0.491
9625,Indiana Academy for Sci Math Hmn,1443,Indiana Academy for Sci Math Hmn,0.775
9650,Herron Charter,5724,Herron High School,0.619
9651,"The Hope Academy, Inc.",5304,"The Hope Academy, Inc.",NA
9670,Indianapolis Metropolitan High Sch,5664,Indianapolis Metropolitan High Sch,0.029
9705,Hammond Academy of Science & Tech,4486,Hammond Academy of Science & Tech,0.194
9730,Neighbors' New Vistas High School,6864,Neighbors' New Vistas High School,0
9750,Excel Center - Anderson,4904,Excel Center - Anderson,0
9760,Smith Academy for Excellence,0242,Smith Academy for Excellence,NA
9790,Anderson Preparatory Academy,5092,Anderson Preparatory Academy,0.018
9840,Excel Center - University Heights,5749,Excel Center - University Heights,NA
9855,Excel Center - Noblesville,5748,Excel Center - Noblesville,NA
9875,Rock Creek Community Academy,0771,Rock Creek Community Academy,0.234
9880,Career Academy High School,7567,Career Academy High School,0.205
9885,Gary Middle College,4027,Gary Middle College,0
9895,IN Math & Science Academy - North,5444,IN Math & Science Academy - North,0.145
9905,Indiana Connections Academy,7944,Indiana Connections Academy,0.151
9910,Excel Center for Adult Learners,5669,Excel Center For Adult Learners,0
9920,Damar Charter Academy,5191,Damar Charter Academy,NA
9950,Dugger Union Community School Corp,7952,Dugger Union Community School Corp,0.058
9980,Steel City Academy,1113,Steel City Academy,0
9985,Seven Oaks Classical School,1114,Seven Oaks Classical School,0.667
9995,Excel Center - Shelbyville,1117,Excel Center - Shelbyville,0
-999,Independent Non-Public Schools,A042,River Montessori High School,0.7
-999,Independent Non-Public Schools,A115,International Soccer Academy of America,0.167
-999,Independent Non-Public Schools,A122,Illiana Christian High School,0.462
-999,Independent Non-Public Schools,A126,Edinburgh Christian School,NA
-999,Independent Non-Public Schools,A170,Blackhawk Christian Mdl/High Sch,0.481
-999,Independent Non-Public Schools,A275,Crossroad Child & Family Services,NA
-999,Independent Non-Public Schools,A304,GEO Focus Academy,NA
-999,Independent Non-Public Schools,A311,Saint Thomas More Academy,NA
-999,Independent Non-Public Schools,A450,Columbus Christian School Inc,0.3
-999,Independent Non-Public Schools,A480,James E Davis School,NA
-999,Independent Non-Public Schools,A740,Lakewood Park Christian School,0.535
-999,Independent Non-Public Schools,A746,Heritage Hall Christian School,NA
-999,Independent Non-Public Schools,A875,Clinton Christian School,0.545
-999,Independent Non-Public Schools,A990,Elkhart Christian Academy,0.463
-999,Independent Non-Public Schools,B009,The Crossing Educational Center,0.014
-999,Independent Non-Public Schools,B015,Bethany Christian School,0.486
-999,Independent Non-Public Schools,B045,Christian Academy of Indiana,0.455
-999,Independent Non-Public Schools,B118,Kinwell Academy Inc,NA
-999,Independent Non-Public Schools,B136,The King's Academy,0.375
-999,Independent Non-Public Schools,B160,Eman Schools,0.875
-999,Independent Non-Public Schools,B161,Fishers Christian Academy,NA
-999,Independent Non-Public Schools,B190,Indiana Academy,0.24
-999,Independent Non-Public Schools,B205,Union Bible College & Academy,NA
-999,Independent Non-Public Schools,B233,Transitions Academy,0
-999,Independent Non-Public Schools,B248,Legacy Christian School,0.286
-999,Independent Non-Public Schools,B290,Bethesda Christian School,0.25
-999,Independent Non-Public Schools,B299,Legacy Learning Center,NA
-999,Independent Non-Public Schools,B455,Sandy Creek Christian Academy,0.25
-999,Independent Non-Public Schools,B469,DeMotte Christian High School,0.577
-999,Independent Non-Public Schools,B483,Jay County Christian Academy,NA
-999,Independent Non-Public Schools,B493,Christian Academy of Madison,0.167
-999,Independent Non-Public Schools,B557,Pierceton Woods Academy,NA
-999,Independent Non-Public Schools,B595,Lakeland Christian Academy,0.577
-999,Independent Non-Public Schools,B815,Calumet Christian School,0.273
-999,Independent Non-Public Schools,C175,Indiana Christian Academy,NA
-999,Independent Non-Public Schools,C225,Liberty Christian School,0.179
-999,Independent Non-Public Schools,C250,Anderson Christian School,NA
-999,Independent Non-Public Schools,C275,Heritage Christian School,0.68
-999,Independent Non-Public Schools,C281,Cornerstone Baptist Academy,NA
-999,Independent Non-Public Schools,C282,Horizon Christian School,0.222
-999,Independent Non-Public Schools,C325,Suburban Christian School,0.333
-999,Independent Non-Public Schools,C360,Brebeuf Jesuit Preparatory School,0.688
-999,Independent Non-Public Schools,C375,Traders Point Christian Schools,0.357
-999,Independent Non-Public Schools,C495,Colonial Christian School,0.611
-999,Independent Non-Public Schools,C514,Crosspointe Christian Academy,0.2
-999,Independent Non-Public Schools,C527,Covenant Christian High School,0.696
-999,Independent Non-Public Schools,C561,Trinity Christian School,0.1
-999,Independent Non-Public Schools,C575,Central Christian Academy,NA
-999,Independent Non-Public Schools,C580,Calvary Christian School,0.562
-999,Independent Non-Public Schools,C589,The Independence Academy,NA
-999,Independent Non-Public Schools,C628,MTI School of Knowledge,0.211
-999,Independent Non-Public Schools,C677,International Sch of IN HS (9-12),0.536
-999,Independent Non-Public Schools,C910,Covenant Christian School,NA
-999,Independent Non-Public Schools,C927,Lighthouse Christian Academy,0.917
-999,Independent Non-Public Schools,C940,Tabernacle Christian School,0.583
-999,Independent Non-Public Schools,C954,Greenwood Christian Academy High School,0.464
-999,Independent Non-Public Schools,C965,Mooresville Christian Academy,NA
-999,Independent Non-Public Schools,D056,Shults-Lewis Child & Family Srvs,NA
-999,Independent Non-Public Schools,D063,Emmanuel Baptist Academy,NA
-999,Independent Non-Public Schools,D073,Victory Christian Academy,0.556
-999,Independent Non-Public Schools,D080,Portage Christian School,0.154
-999,Independent Non-Public Schools,D196,Bais Yaakov High School of Indiana,NA
-999,Independent Non-Public Schools,D217,Trinity School At Greenlawn,0.697
-999,Independent Non-Public Schools,D249,New Vision Christian Academy,NA
-999,Independent Non-Public Schools,D281,Yeshiva of South Bend,NA
-999,Independent Non-Public Schools,D305,Community Baptist Christian School,0.545
-999,Independent Non-Public Schools,D310,Granger Christian School,0.2
-999,Independent Non-Public Schools,D329,Grace Christian Academy Inc,NA
-999,Independent Non-Public Schools,D452,Faith Christian School,0.516
-999,Independent Non-Public Schools,D489,Evansville Christian Sch Newburgh,0.705
-999,Independent Non-Public Schools,D525,Evansville Day School,0.714
-999,Independent Non-Public Schools,D725,Holy Cross School,NA
-999,Independent Non-Public Schools,D875,Kingdom Academy of Bluffton Inc,NA
-999,Independent Non-Public Schools,D907,T.R.O.Y. Center,0.1
-999,Independent Non-Public Schools,D913,Israel School of Excellence,NA
