corp_id,corp_name,schl_id,schl_name,pct_bmk
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,0.514
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,0.344
1405,Washington Community Schools,1125,Washington High School,0.143
1560,Sunman-Dearborn Com Sch Corp,7213,East Central High School,0.391
1600,South Dearborn Community Sch Corp,1179,South Dearborn High School,0.144
1620,Lawrenceburg Community School Corp,1177,Lawrenceburg High School,0.262
1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,0.297
1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,0.203
1730,Greensburg Community Schools,1268,Greensburg Community High School,0.312
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,0.312
1820,Garrett-Keyser-Butler Com Sch Corp,1325,Garrett High School,0.212
1835,DeKalb Co Ctl United Sch Dist,1345,DeKalb High School,0.327
1875,Delaware Community School Corp,1369,Delta High School,0.367
1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,0.18
1895,Liberty-Perry Community Sch Corp,1375,Wapahani High School,0.28
1900,Cowan Community School Corp,1386,Cowan High School,0.203
1910,Yorktown Community Schools,1389,Yorktown High School,0.318
1940,Daleville Community Schools,1401,Daleville Jr-Sr High School,0.221
1970,Muncie Community Schools,1421,Muncie Central High School,0.114
1970,Muncie Community Schools,1500,Muncie Virtual Academy,NA
2040,Northeast Dubois Co Sch Corp,1545,Northeast Dubois Jr/Sr High School,0.314
2100,Southeast Dubois Co Sch Corp,1583,Forest Park Jr-Sr High School,0.5
2110,Southwest Dubois Co Sch Corp,1588,Southridge High School,0.292
2120,Greater Jasper Consolidated Schs,1593,Jasper High School,0.373
2155,Fairfield Community Schools,1613,Fairfield Jr-Sr High School,0.364
2260,Baugo Community Schools,1701,Jimtown High School,0.165
2270,Concord Community Schools,1715,Concord Community High School,0.195
2275,Middlebury Community Schools,1733,Northridge High School,0.334
2285,Wa-Nee Community Schools,1737,North Wood High School,0.406
2305,Elkhart Community Schools,1752,Elkhart Alternative Education,0
2305,Elkhart Community Schools,1754,Elkhart High School,0.123
2315,Goshen Community Schools,1821,Goshen High School,0.171
2395,Fayette County School Corporation,1889,Connersville Sr High School,0.164
2400,New Albany-Floyd Co Con Sch,1925,New Albany Senior High School,0.197
2400,New Albany-Floyd Co Con Sch,1930,Floyd Central High School,0.426
2435,Attica Consolidated School Corp,2053,Attica High School,0.237
2440,Covington Community School Corp,2005,Covington Community High School,0.328
2455,Southeast Fountain School Corp,2022,Fountain Central High School,0.303
2455,Southeast Fountain School Corp,2458,Southeast Fountain Virtual Academy,NA
2475,Franklin County Community Sch Corp,2083,Franklin County High,0.248
2645,Rochester Community School Corp,2173,Rochester Community High School,0.164
2650,Caston School Corporation,2159,Caston Jr-Sr High School,0.236
2725,East Gibson School Corporation,2233,Waldo J Wood Memorial High,0.326
2735,North Gibson School Corporation,2249,Princeton Community High School,0.178
2765,South Gibson School Corporation,2211,Gibson Southern High School,0.401
2815,Eastbrook Community Sch Corp,2293,Eastbrook High School,0.348
2825,Madison-Grant United School Corp,2321,Madison-Grant Jr./Sr. High School,0.38
2825,Madison-Grant United School Corp,2838,Virtual Preparatory Academy of Indiana at Madison-Grant 9-12,0.079
2855,Mississinewa Community School Corp,2333,Mississinewa High School,0.174
2865,Marion Community Schools,2351,Marion High School,0.089
2920,Bloomfield School District,2419,Bloomfield High School,0.2
2940,Eastern Greene Schools,2435,Eastern Greene High School,0.221
2950,Linton-Stockton School Corporation,2437,Linton-Stockton High School,0.202
2960,MSD Shakamak Schools,2445,Shakamak Jr-Sr High School,0.19
2980,White River Valley School District,2429,White River Valley High School,0.08
3005,Hamilton Southeastern Schools,2487,Fishers High School,0.588
3005,Hamilton Southeastern Schools,2499,Hamilton Southeastern HS,0.534
