corp_id,corp_name,schl_id,schl_name,math_prof_pct
2305,Elkhart Community Schools,1773,Mary Daly Elementary School,0.083
2305,Elkhart Community Schools,1785,Pinewood Elementary School,0.304
2305,Elkhart Community Schools,1789,Monger Elementary School,0.432
2305,Elkhart Community Schools,1797,Riverview Elementary School,0.447
2305,Elkhart Community Schools,1801,Roosevelt STEAM Academy,0.26
2305,Elkhart Community Schools,1817,Woodland Elementary School,0.202
2315,Goshen Community Schools,1629,Goshen Junior High School,0.328
2315,Goshen Community Schools,1633,Model Elementary School,0.35
2315,Goshen Community Schools,1641,Waterford Elementary School,0.509
2315,Goshen Community Schools,1829,Chamberlain Elementary School,0.527
2315,Goshen Community Schools,1833,Chandler Elementary School,0.449
2315,Goshen Community Schools,1843,Parkside Elementary School,0.453
2315,Goshen Community Schools,1847,Prairie View Elementary School,0.544
2315,Goshen Community Schools,1849,West Goshen Elementary School,0.394
2315,Goshen Community Schools,2318,Goshen Intermediate School,0.306
2395,Fayette County School Corporation,1869,Everton Elementary School,0.357
2395,Fayette County School Corporation,1895,Connersville Middle School,0.175
2395,Fayette County School Corporation,1897,Eastview Elementary School,0.315
2395,Fayette County School Corporation,1909,Frazee Elementary School,0.412
2395,Fayette County School Corporation,1913,Grandview Elementary School,0.32
2395,Fayette County School Corporation,1921,Fayette Central Elementary,0.538
2400,New Albany-Floyd Co Con Sch,1929,Georgetown Elementary School,0.772
2400,New Albany-Floyd Co Con Sch,1931,Highland Hills Middle School,0.591
2400,New Albany-Floyd Co Con Sch,1933,Hazelwood Middle School,0.246
2400,New Albany-Floyd Co Con Sch,1937,Nathaniel Scribner Middle School,0.252
2400,New Albany-Floyd Co Con Sch,1943,Slate Run Elementary School,0.589
2400,New Albany-Floyd Co Con Sch,1949,Fairmont Elementary School,0.558
2400,New Albany-Floyd Co Con Sch,1953,Greenville Elementary School,0.827
2400,New Albany-Floyd Co Con Sch,1957,Grant Line Elementary School,0.769
2400,New Albany-Floyd Co Con Sch,1961,Green Valley Elementary School,0.493
2400,New Albany-Floyd Co Con Sch,1966,Floyds Knobs Elementary School,0.819
2400,New Albany-Floyd Co Con Sch,1974,Mount Tabor Elementary School,0.511
2400,New Albany-Floyd Co Con Sch,1981,S Ellen Jones Elementary School,0.372
2435,Attica Consolidated School Corp,2053,Attica High School,0.254
2435,Attica Consolidated School Corp,2057,Attica Elementary School,0.495
2440,Covington Community School Corp,2009,Covington Elementary School,0.559
2440,Covington Community School Corp,2013,Covington Middle School,0.441
2455,Southeast Fountain School Corp,2021,Southeast Fountain Elementary,0.429
2455,Southeast Fountain School Corp,2022,Fountain Central High School,0.207
2455,Southeast Fountain School Corp,2458,Southeast Fountain Virtual Academy,NA
2475,Franklin County Community Sch Corp,2082,Laurel School,0.436
2475,Franklin County Community Sch Corp,2123,Franklin County Middle School,0.278
2475,Franklin County Community Sch Corp,2125,Brookville Elementary School,0.478
2475,Franklin County Community Sch Corp,2127,Mount Carmel School,0.509
2645,Rochester Community School Corp,2173,Rochester Community High School,0.124
2645,Rochester Community School Corp,2177,Rochester Community Middle School,0.281
2645,Rochester Community School Corp,2185,George M Riddle Elementary School,0.481
2650,Caston School Corporation,2157,Caston Elementary School,0.532
2650,Caston School Corporation,2159,Caston Jr-Sr High School,0.194
2725,East Gibson School Corporation,2189,Barton Township Elementary,0.711
2725,East Gibson School Corporation,2194,Wood Memorial Middle School,0.22
2725,East Gibson School Corporation,2201,Francisco Elementary School,0.655
2725,East Gibson School Corporation,2237,Oakland City Elementary School,0.431
2735,North Gibson School Corporation,2223,Princeton Comm Intermediate School,0.395
2735,North Gibson School Corporation,2225,Princeton Community Middle,0.217
2765,South Gibson School Corporation,2205,Haubstadt Community School,0.575
2765,South Gibson School Corporation,2214,Fort Branch Community School,0.531
2765,South Gibson School Corporation,2241,Owensville Community School,0.556
2815,Eastbrook Community Sch Corp,2263,Eastbrook South Elementary,0.577
2815,Eastbrook Community Sch Corp,2264,Eastbrook North Elementary,0.417
2815,Eastbrook Community Sch Corp,2299,Eastbrook Middle School,0.436
2825,Madison-Grant United School Corp,2321,Madison-Grant Jr./Sr. High School,0.2
2825,Madison-Grant United School Corp,2329,Park Elementary School,0.309
2825,Madison-Grant United School Corp,2834,Virtual Preparatory Academy of Indiana at Madison-Grant K-5,0.053
