corp_id,corp_name,schl_id,schl_name,sc_prof_pct
1010,Greater Clark County Schools,0809,New Washington Middle/High School,0.225
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,0.341
1010,Greater Clark County Schools,0853,Parkview Middle School,0.235
1010,Greater Clark County Schools,0863,Charlestown Middle School,0.388
1010,Greater Clark County Schools,0871,Riverside Elementary School,0.417
1010,Greater Clark County Schools,0874,Franklin Square Elementary School,0.175
1010,Greater Clark County Schools,0879,Parkwood Elementary School,0.197
1010,Greater Clark County Schools,0883,River Valley Middle School,0.357
1010,Greater Clark County Schools,0886,Old Corden Porter School,NA
1125,Clay Community Schools,0895,Clay City Elementary School,0.561
1125,Clay Community Schools,0901,Jackson Township Elementary School,0.6
1125,Clay Community Schools,0907,Staunton Elementary School,0.656
1125,Clay Community Schools,0923,Van Buren Elementary School,0.472
1125,Clay Community Schools,0925,North Clay Middle School,0.554
1125,Clay Community Schools,0941,East Side Elementary School,0.567
1125,Clay Community Schools,0942,Forest Park Elementary School,0.258
1125,Clay Community Schools,0949,Meridian Street Elementary School,0.366
1150,Clinton Central School Corporation,0961,Clinton Central Elementary School,0.458
1160,Clinton Prairie School Corporation,0981,Clinton Prairie Elementary School,0.386
1170,Community Schools of Frankfort,0999,Frankfort Middle School,0.245
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,0.168
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,0.141
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,0.667
1180,Rossville Con School District,1033,Rossville Elementary School,0.568
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,0.36
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,0.44
1300,Crawford County Community Sch Corp,1049,Crawford County Virtual Academy,NA
1300,Crawford County Community Sch Corp,1061,Crawford County Middle School,0.299
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,0.513
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,0.443
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,0.571
1375,North Daviess Com Schools,1090,North Daviess Elementary School,0.42
1405,Washington Community Schools,1103,Washington Intermediate,0.218
1405,Washington Community Schools,1105,Veale Elementary School,0.227
1405,Washington Community Schools,1129,Washington Upper Elementary,0.281
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,0.602
1560,Sunman-Dearborn Com Sch Corp,1190,East Central Middle School,0.502
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,0.456
