stlmt_corp_name,stlmt_corp_id,nrl_schl_name,nrl_schl_id,yr,xfr_sqrt,clr,stlmt_lon,stlmt_lat,nrl_lat,nrl_lon,typ,tot_xfr,fillcolor,fname,weight,color,pct_of_xfr,log,minutes
South Montgomery Community School Corporation,5845,Clarksville Community School Corporation,1000,2023,3.3166247903554,#0868ac,-86.9282329,39.951818,38.302952,-85.76037,Public,11,#d95f02,5845-1000,0,NA,4.49,1.501852701754163,145.73333333333332
South Montgomery Community School Corporation,5845,Union School Corporation,6795,2023,3.1622776601683795,#0868ac,-86.9282329,39.951818,40.0481017,-85.1251322,Public,10,#d95f02,5845-6795,0,NA,4.08,1.4060969884160703,116.11666666666666
Crawfordsville Community Schools,5855,Clarksville Community School Corporation,1000,2023,2.8284271247461903,#0868ac,-86.8882575,40.045629,38.302952,-85.76037,Public,8,#d95f02,5855-1000,0,NA,3.46,1.2412685890696329,149.3
Crawfordsville Community Schools,5855,Union School Corporation,6795,2023,3.1622776601683795,#0868ac,-86.8882575,40.045629,40.0481017,-85.1251322,Public,10,#d95f02,5855-6795,0,NA,4.33,1.4655675420143983,120.26666666666667
Monroe-Gregg School District,5900,Clarksville Community School Corporation,1000,2023,2.449489742783178,#0868ac,-86.4796753,39.5770332,38.302952,-85.76037,Public,6,#d95f02,5900-1000,0,NA,3.03,1.1085626195212777,119.93333333333334
Monroe-Gregg School District,5900,Union School Corporation,6795,2023,2,#0868ac,-86.4796753,39.5770332,40.0481017,-85.1251322,Public,4,#d95f02,5900-6795,0,NA,2.02,0.7030975114131134,98.35
Eminence Community School Corporation,5910,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-86.6413422,39.522015,39.5109654,-86.78998399999999,Public,2,#d95f02,5910-6750,0,NA,1.87,0.6259384308664954,14.566666666666666
Eminence Community School Corporation,5910,Union School Corporation,6795,2023,1.4142135623730951,#0868ac,-86.6413422,39.522015,40.0481017,-85.1251322,Public,2,#d95f02,5910-6795,0,NA,1.87,0.6259384308664954,110.78333333333333
Metropolitan School District Martinsville Schools,5925,Clarksville Community School Corporation,1000,2023,3.4641016151377544,#0868ac,-86.4283279,39.42782529999999,38.302952,-85.76037,Public,12,#d95f02,5925-1000,0,NA,1.33,0.28517894223366247,111.41666666666667
Metropolitan School District Martinsville Schools,5925,Beech Grove City Schools,5380,2023,1.7320508075688772,#0868ac,-86.4283279,39.42782529999999,39.7127309,-86.076734,Public,3,#d95f02,5925-5380,0,NA,0.33,-1.1086626245216111,41.35
