corp_id,corp_name,schl_id,schl_name,IREAD_pct
2440,Covington Community School Corp,2009,Covington Elementary School,0.903
2455,Southeast Fountain School Corp,2021,Southeast Fountain Elementary,0.922
2475,Franklin County Community Sch Corp,2082,Laurel School,NA
2475,Franklin County Community Sch Corp,2125,Brookville Elementary School,0.831
2475,Franklin County Community Sch Corp,2127,Mount Carmel School,NA
2645,Rochester Community School Corp,2185,George M Riddle Elementary School,0.938
2650,Caston School Corporation,2157,Caston Elementary School,0.845
2725,East Gibson School Corporation,2189,Wood Memorial Intermediate School,NA
2725,East Gibson School Corporation,2201,Francisco Elementary School,NA
2725,East Gibson School Corporation,2237,Wood Memorial Primary School,0.831
2735,North Gibson School Corporation,2223,Princeton Comm Intermediate School,0.84
2765,South Gibson School Corporation,2205,Haubstadt Community School,NA
2765,South Gibson School Corporation,2214,Fort Branch Community School,0.901
2765,South Gibson School Corporation,2241,Owensville Community School,0.789
2815,Eastbrook Community Sch Corp,2263,Eastbrook South Elementary,0.834
2815,Eastbrook Community Sch Corp,2264,Eastbrook North Elementary,0.916
2825,Madison-Grant United School Corp,2329,Park Elementary School,0.837
2825,Madison-Grant United School Corp,2834,Virtual Preparatory Academy of Indiana at Madison-Grant K-5,NA
2855,Mississinewa Community School Corp,2346,Northview Elementary School,0.835
2865,Marion Community Schools,2369,Allen Elementary School,NA
2865,Marion Community Schools,2393,John W Kendall Elem School,0.783
2865,Marion Community Schools,2405,Riverview Elementary School,0.778
2865,Marion Community Schools,2409,Frances Slocum Elem School,0.767
2920,Bloomfield School District,2417,Bloomfield Elementary School,0.88
2940,Eastern Greene Schools,2433,Eastern Greene Elementary School,0.831
2950,Linton-Stockton School Corporation,2441,Linton-Stockton Elementary,0.978
2960,MSD Shakamak Schools,2449,Shakamak Elementary School,0.92
2980,White River Valley School District,2460,White River Valley Elementary Sch,0.942
3005,Hamilton Southeastern Schools,2464,Deer Creek Elementary,0.95
3005,Hamilton Southeastern Schools,2466,Brooks School Elementary,0.865
