corp_id,corp_name,schl_id,schl_name,ss_prof_pct
3675,Seymour Community Schools,3153,Seymour-Jackson Elementary School,0.25
3675,Seymour Community Schools,3157,Seymour-Redding Elementary School,0.417
3695,Brownstown Cnt Com Sch Corp,3129,Brownstown Elementary School,0.344
3710,Crothersville Community Schools,3122,Crothersville Elementary School,0.185
3785,Kankakee Valley School Corp,3198,Kankakee Valley Intermediate Sch,0.408
3815,Rensselaer Central School Corp,3205,Van Rensselaer Elementary School,0.45
3945,Jay School Corporation,3241,Bloomfield Elementary School,0.359
3945,Jay School Corporation,3247,Redkey Elementary School,0.429
3945,Jay School Corporation,3273,East Jay Elementary,0.439
3945,Jay School Corporation,3289,West Jay Elementary,0.567
3995,Madison Consolidated Schools,3313,Madison Consolidated Jr High Sch,0.376
4000,Southwestern-Jefferson Co Con,3341,Southwestern Elementary School,0.257
4015,Jennings County School Corporation,3349,Sand Creek Elementary School,0.098
4015,Jennings County School Corporation,3357,Scipio Elementary School,0.333
4015,Jennings County School Corporation,3361,Graham Creek Elementary School,0.222
4015,Jennings County School Corporation,3385,Hayden Elementary School,0.472
4015,Jennings County School Corporation,3389,Brush Creek Elementary School,0.238
4015,Jennings County School Corporation,3397,North Vernon Elementary School,0.293
4145,Clark-Pleasant Community Sch Corp,3401,Clark Elementary School,0.471
4145,Clark-Pleasant Community Sch Corp,3422,Grassy Creek Elementary School,0.549
4145,Clark-Pleasant Community Sch Corp,3425,Whiteland Elementary School,0.577
4145,Clark-Pleasant Community Sch Corp,3429,Break-O-Day Elementary School,0.288
4145,Clark-Pleasant Community Sch Corp,3430,Pleasant Crossing Elementary,0.4
4145,Clark-Pleasant Community Sch Corp,4172,Ray Crowe Elementary,0.255
4205,Center Grove Community School Corp,3434,Sugar Grove Elementary School,0.396
4205,Center Grove Community School Corp,3435,Center Grove Elementary School,0.465
4205,Center Grove Community School Corp,3438,Walnut Grove Elementary School,0.606
4205,Center Grove Community School Corp,3439,Maple Grove Elementary School,0.561
4205,Center Grove Community School Corp,3440,North Grove Elementary School,0.526
4205,Center Grove Community School Corp,3444,Pleasant Grove Elementary School,0.492
4215,Edinburgh Community School Corp,3452,East Side Elementary School,0.265
4225,Franklin Community School Corp,3458,Custer Baker Intermediate School,0.453
4245,Greenwood Community Sch Corp,3477,Greenwood Northeast Elementary Sch,0.492
4245,Greenwood Community Sch Corp,3479,Westwood Elementary School,0.488
4245,Greenwood Community Sch Corp,3481,V O Isom Central Elem School,0.284
4245,Greenwood Community Sch Corp,3483,Southwest Elementary School,0.646
4255,Nineveh-Hensley-Jackson United,3411,Indian Creek Intermediate School,0.555
4315,North Knox School Corp,3545,North Knox Intermediate,0.4
4325,South Knox School Corp,3489,South Knox Elementary School,0.44
4335,Vincennes Community School Corp,3509,Benjamin Franklin Elementary Sch,0.372
4335,Vincennes Community School Corp,3573,James Whitcomb Riley Elem Sch,0.111
4335,Vincennes Community School Corp,3577,Tecumseh-Harrison Elementary Sch,0.292
4335,Vincennes Community School Corp,3581,Francis Vigo Elementary School,0.255
4345,Wawasee Community School Corp,3625,North Webster Elementary School,0.468
4345,Wawasee Community School Corp,3635,Milford Elementary School,0.327
4345,Wawasee Community School Corp,3637,Syracuse Elementary School,0.264
4415,Warsaw Community Schools,3589,Claypool Elementary School,0.282
4415,Warsaw Community Schools,3608,Eisenhower Elementary School,0.403
4415,Warsaw Community Schools,3610,Harrison Elementary School,0.471
4415,Warsaw Community Schools,3613,Leesburg Elementary School,0.274
4415,Warsaw Community Schools,3661,Jefferson Elementary School,0.565
4415,Warsaw Community Schools,3665,Lincoln Elementary School,0.217
4415,Warsaw Community Schools,3673,Madison Elementary School,0.375
4415,Warsaw Community Schools,3677,Washington Elementary School,0.439
4445,Tippecanoe Valley School Corp,2139,Akron Elementary School,0.333
4445,Tippecanoe Valley School Corp,3603,Mentone Elementary School,0.262
4445,Tippecanoe Valley School Corp,3619,Tippecanoe Valley Middle School,0.306
4455,Whitko Community School Corp,3642,Pierceton Elementary School,0.439
4455,Whitko Community School Corp,9173,South Whitley Elementary School,0.476
4515,Prairie Heights Community Sch Corp,3688,Prairie Heights Middle School,0.394
4525,Westview School Corporation,3702,Westview Elementary School,0.57
4535,Lakeland School Corporation,3739,Lakeland Intermediate School,0.256
4570,NW Indiana Special Education Coop,4287,Eagle Park Community School,NA
4580,Hanover Community School Corp,3780,Red Cedars Elementary,0.535
4590,River Forest Community Sch Corp,3797,Henry S Evans Elementary School,0.169
4590,River Forest Community Sch Corp,3805,John I Meister Elementary School,0.135
4600,Merrillville Community School Corp,3813,Merrillville Intermediate School,0.286
4615,Lake Central School Corporation,3831,Michael Grimmer Middle School,0.604
4615,Lake Central School Corporation,3838,Hal E Clark Middle School,0.555
4615,Lake Central School Corporation,3841,Kahler Middle School,0.519
4645,Tri-Creek School Corporation,3753,Oak Hill Elementary School,0.556
4645,Tri-Creek School Corporation,3845,Lake Prairie Elementary School,0.339
4645,Tri-Creek School Corporation,3848,Three Creeks Elem School,0.376
4650,Lake Ridge New Tech Schools,3893,Lake Ridge New Tech Middle School,0.158
4660,Crown Point Community School Corp,3769,Douglas MacArthur Elem School,0.47
4660,Crown Point Community School Corp,3773,Dwight D Eisenhower Elem School,0.398
4660,Crown Point Community School Corp,3903,Lake Street Elementary School,0.589
4660,Crown Point Community School Corp,3905,Solon Robinson Elementary School,0.559
4660,Crown Point Community School Corp,3907,Jerry Ross Elementary School,0.534
4660,Crown Point Community School Corp,3913,Timothy Ball Elementary School,0.646
4670,School City of East Chicago,3941,Benjamin Harrison Elementary Sch,0.122
4670,School City of East Chicago,3945,Abraham Lincoln Elementary School,0.156
4670,School City of East Chicago,3953,William McKinley Elementary School,0.101
4670,School City of East Chicago,3961,George Washington Elementary Sch,0.051
4680,Lake Station Community Schools,3973,Alexander Hamilton Elementary Sch,0.571
4680,Lake Station Community Schools,3975,Virgil I Bailey Elementary School,0.27
4690,Gary Community School Corp,4053,Banneker Elementary at Marquette,0.088
4690,Gary Community School Corp,4061,Beveridge Elementary School,0.036
4690,Gary Community School Corp,4068,Gary Virtual Academy,NA
4690,Gary Community School Corp,4086,Frankie Woods McCullough Academy,0.018
4690,Gary Community School Corp,4155,Glen Park Acad for Excel in Lrn,0.028
4690,Gary Community School Corp,4169,Daniel Hale Williams Elem Sch,0.029
4700,Griffith Public Schools,4171,Beiriger Elementary School,0.387
4710,School City of Hammond,4422,Joseph Hess Elementary School,0.145
4710,School City of Hammond,4449,Thomas A Edison Elementary School,0.27
4710,School City of Hammond,4451,Benjamin Franklin Elementary Sch,0.314
4710,School City of Hammond,4453,Warren G Harding Elementary School,0.31
4710,School City of Hammond,4455,Washington Irving Elementary Sch,0.176
4710,School City of Hammond,4457,Thomas Jefferson Elementary School,0.035
4710,School City of Hammond,4459,Kenwood Elementary School,0.222
4710,School City of Hammond,4463,Abraham Lincoln Elementary School,0.167
4710,School City of Hammond,4465,Annie Burns-Hicks Elementary School,0.02
4710,School City of Hammond,4469,Morton Elementary School,0.129
4710,School City of Hammond,4479,Lew Wallace Elementary School,0.036
4710,School City of Hammond,4484,Frank O'Bannon Elementary School,0.176
4720,School Town of Highland,4285,Judith Morton Johnston Elementary,0.41
4720,School Town of Highland,4290,Mildred Merkley Elementary School,0.309
