corp_id,corp_name,schl_id,schl_name,ela_prof_pct
0935,Borden-Henryville School Corporation,0813,William W Borden High School,0.615
0935,Borden-Henryville School Corporation,0815,William W Borden Elementary School,0.483
0945,Silver Creek School Corporation,0781,Silver Creek Middle School,0.459
0945,Silver Creek School Corporation,0789,Silver Creek Elementary School,0.401
1000,Clarksville Community School Corp,0845,Clarksville Elementary School,0.325
1000,Clarksville Community School Corp,0851,Clarksville Middle School,0.328
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,0.126
1010,Greater Clark County Schools,0755,W E Wilson Elementary,0.348
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,0.34
1010,Greater Clark County Schools,0801,Northaven Elementary School,0.322
1010,Greater Clark County Schools,0805,Utica Elementary School,0.642
1010,Greater Clark County Schools,0807,New Washington Elementary School,0.428
1010,Greater Clark County Schools,0809,New Washington Middle/High School,0.412
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,0.417
1010,Greater Clark County Schools,0853,Parkview Middle School,0.309
1010,Greater Clark County Schools,0863,Charlestown Middle School,0.466
1010,Greater Clark County Schools,0871,Riverside Elementary School,0.459
1010,Greater Clark County Schools,0874,Franklin Square Elementary School,0.186
1010,Greater Clark County Schools,0879,Parkwood Elementary School,0.275
1010,Greater Clark County Schools,0883,River Valley Middle School,0.413
1010,Greater Clark County Schools,0886,Old Corden Porter School,NA
1125,Clay Community Schools,0895,Clay City Elementary School,0.624
1125,Clay Community Schools,0897,Clay City Jr-Sr High School,0.537
1125,Clay Community Schools,0901,Jackson Township Elementary School,0.531
1125,Clay Community Schools,0907,Staunton Elementary School,0.622
1125,Clay Community Schools,0923,Van Buren Elementary School,0.398
1125,Clay Community Schools,0925,North Clay Middle School,0.43
1125,Clay Community Schools,0941,East Side Elementary School,0.481
1125,Clay Community Schools,0942,Forest Park Elementary School,0.25
1125,Clay Community Schools,0949,Meridian Street Elementary School,0.53
1150,Clinton Central School Corporation,0957,Clinton Central Junior-Senior HS,0.354
1150,Clinton Central School Corporation,0961,Clinton Central Elementary School,0.508
1160,Clinton Prairie School Corporation,0977,Clinton Prairie Jr-Sr High School,0.401
1160,Clinton Prairie School Corporation,0981,Clinton Prairie Elementary School,0.433
1170,Community Schools of Frankfort,0999,Frankfort Middle School,0.322
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,0.324
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,0.231
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,0.571
1180,Rossville Con School District,1033,Rossville Elementary School,0.507
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,0.292
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,0.337
1300,Crawford County Community Sch Corp,1049,Crawford County Virtual Academy,NA
1300,Crawford County Community Sch Corp,1061,Crawford County Middle School,0.415
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,0.554
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,0.591
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,0.542
1375,North Daviess Com Schools,1090,North Daviess Elementary School,0.44
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,0.463
1405,Washington Community Schools,1103,Washington Intermediate,0.226
1405,Washington Community Schools,1105,Veale Elementary School,0.395
1405,Washington Community Schools,1123,Washington Junior High School,0.329
1405,Washington Community Schools,1129,Washington Upper Elementary,0.281
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,0.565
1560,Sunman-Dearborn Com Sch Corp,1190,East Central Middle School,0.478
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,0.466
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,0.447
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,0.541
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,0.264
1600,South Dearborn Community Sch Corp,1172,South Dearborn Middle School,0.505
1600,South Dearborn Community Sch Corp,1197,Aurora Elementary School,0.304
1620,Lawrenceburg Community School Corp,1209,Greendale Middle School,0.442
1620,Lawrenceburg Community School Corp,1217,Central Elementary School,0.39
1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,0.338
1655,Decatur County Community Schools,1265,South Decatur Elementary School,0.481
1655,Decatur County Community Schools,1266,North Decatur Elementary School,0.588
1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,0.578
1730,Greensburg Community Schools,1269,Greensburg Community Jr High,0.468
1730,Greensburg Community Schools,1270,Greensburg Elementary,0.372
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,0.332
1805,DeKalb Co Eastern Com Sch Dist,1321,Butler Elementary School,0.228
1805,DeKalb Co Eastern Com Sch Dist,1335,Riverdale Elementary School,0.479
1820,Garrett-Keyser-Butler Com Sch Corp,1329,J E Ober Elementary School,0.245
1820,Garrett-Keyser-Butler Com Sch Corp,1331,Garrett Middle School,0.239
1835,DeKalb Co Ctl United Sch Dist,1341,Waterloo Elementary School,0.233
1835,DeKalb Co Ctl United Sch Dist,1346,DeKalb Middle School,0.543
1835,DeKalb Co Ctl United Sch Dist,1351,James R Watson Elementary School,0.485
1835,DeKalb Co Ctl United Sch Dist,1357,McKenney-Harrison Elementary Sch,0.317
1835,DeKalb Co Ctl United Sch Dist,1359,Country Meadow Elementary School,0.299
1875,Delaware Community School Corp,1365,Royerton Elementary School,0.538
1875,Delaware Community School Corp,1367,Delta Middle School,0.408
1875,Delaware Community School Corp,1409,Eaton Elementary School,0.542
1875,Delaware Community School Corp,1520,Albany Elementary School,0.493
1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,0.413
1885,Wes-Del Community Schools,1413,Wes-Del Elementary School,0.383
1895,Liberty-Perry Community Sch Corp,1377,Selma Middle School,0.571
1895,Liberty-Perry Community Sch Corp,1381,Selma Elementary School,0.54
1900,Cowan Community School Corp,1385,Cowan Elementary School,0.299
1900,Cowan Community School Corp,1386,Cowan High School,0.317
1910,Yorktown Community Schools,1387,Yorktown Middle School,0.46
1910,Yorktown Community Schools,1393,Yorktown Elementary School,0.457
1940,Daleville Community Schools,1401,Daleville Jr-Sr High School,0.32
1940,Daleville Community Schools,1405,Daleville Elementary School,0.25
1970,Muncie Community Schools,1431,Northside Middle School,0.256
1970,Muncie Community Schools,1437,Southside Middle School,0.053
1970,Muncie Community Schools,1470,Grissom Elementary School,0.115
1970,Muncie Community Schools,1482,South View Elementary School,0.062
1970,Muncie Community Schools,1485,Longfellow Elementary School,0.155
1970,Muncie Community Schools,1496,North View Elementary School,0.373
1970,Muncie Community Schools,1500,Muncie Virtual Academy,0.068
1970,Muncie Community Schools,1513,East Washington Academy,0.45
1970,Muncie Community Schools,1517,West View Elementary School,0.264
1970,Muncie Community Schools,1524,Youth Opportunity Center,0
2040,Northeast Dubois Co Sch Corp,1545,Northeast Dubois Jr/Sr High School,0.442
2040,Northeast Dubois Co Sch Corp,1549,Northeast Dubois Intermediate School,0.487
2100,Southeast Dubois Co Sch Corp,1563,Pine Ridge Elementary School,0.568
2100,Southeast Dubois Co Sch Corp,1581,Ferdinand Elementary School,0.605
2100,Southeast Dubois Co Sch Corp,1583,Forest Park Jr-Sr High School,0.583
2100,Southeast Dubois Co Sch Corp,1586,Cedar Crest Intermediate School,0.594
2110,Southwest Dubois Co Sch Corp,1529,Holland Elementary School,0.426
2110,Southwest Dubois Co Sch Corp,1587,Southridge Middle School,0.471
2110,Southwest Dubois Co Sch Corp,1590,Huntingburg Elementary School,0.389
2120,Greater Jasper Consolidated Schs,1569,Ireland Elementary School,0.631
2120,Greater Jasper Consolidated Schs,1575,Jasper Middle School,0.512
2120,Greater Jasper Consolidated Schs,1601,Jasper Elementary School,0.527
2155,Fairfield Community Schools,1613,Fairfield Jr-Sr High School,0.463
2155,Fairfield Community Schools,1621,Millersburg Elementary- Middle Sch,0.483
2155,Fairfield Community Schools,1649,New Paris Elementary School,0.437
2155,Fairfield Community Schools,1652,Benton Elementary School,0.59
2260,Baugo Community Schools,1703,Jimtown Junior High School,0.473
2260,Baugo Community Schools,1707,Jimtown Intermediate School,0.533
2270,Concord Community Schools,1713,Concord Junior High School,0.372
2270,Concord Community Schools,1718,Concord Intermediate School,0.321
2270,Concord Community Schools,1721,Concord East Side Elementary Sch,0.391
2270,Concord Community Schools,1723,Concord Ox Bow Elementary School,0.316
2270,Concord Community Schools,1725,Concord South Side Elementary Sch,0.12
2270,Concord Community Schools,1729,Concord West Side Elem School,0.193
2275,Middlebury Community Schools,1656,Jefferson Elementary School,0.452
2275,Middlebury Community Schools,1657,Northridge Middle School,0.44
